,base,clouds: all,cod,coord: lat,coord: lon,dt,id,main: grnd_level,main: humidity,main: pressure,main: sea_level,main: temp,main: temp_max,main: temp_min,name,rain: 3h,sys: country,sys: id,sys: message,sys: sunrise,sys: sunset,sys: type,visibility,weather: description,weather: icon,weather: id,weather: main,wind: deg,wind: gust,wind: speed
84,stations,5,200,23.45,-110.23,1533440700,3981432,979.67,65,1011.0,1026.18,83.59,86.0,82.4,Todos Santos,1.375,MX,4016,0.0036,1533473574,1533520834,1,11265,clear sky,02n,800,Clear,300.0,15.9,11.41
85,stations,40,200,49.53,-96.69,1533441600,6156102,979.67,87,1004.0,1026.18,60.8,60.8,60.8,Steinbach,1.375,CA,3409,0.0043,1533467026,1533520843,1,24140,scattered clouds,03n,802,Clouds,170.0,15.9,8.05
86,stations,0,200,-24.87,113.63,1533444248,2074865,1036.33,80,1036.33,1037.61,66.73,66.73,66.73,Carnarvon,1.375,AU,3409,0.003,1533423614,1533463381,1,24140,clear sky,01d,800,Clear,159.001,15.9,18.75
87,stations,12,200,19.22,-104.7,1533444249,3985168,990.37,97,990.37,1024.92,75.28,75.28,75.28,San Patricio,1.375,MX,3409,0.0036,1533472610,1533519146,1,24140,few clouds,02n,801,Clouds,89.0009,15.9,2.75
88,stations,36,200,51.81,68.36,1533444250,1526038,988.34,62,988.34,1023.42,80.32,80.32,80.32,Atbasar,1.375,KZ,3409,0.0056,1533426903,1533481741,1,24140,scattered clouds,03d,802,Clouds,121.001,15.9,8.46
89,stations,40,200,13.07,-59.53,1533441600,3373652,988.34,83,1014.0,1023.42,80.6,80.6,80.6,Oistins,1.375,BB,4160,0.0038,1533462263,1533507819,1,10000,scattered clouds,03n,802,Clouds,100.0,15.9,10.29
90,stations,90,200,66.04,-17.34,1533441600,2629833,988.34,93,1014.0,1023.42,48.2,48.2,48.2,Husavik,1.375,IS,4826,0.0206,1533442215,1533507451,1,10000,overcast clouds,04n,804,Clouds,102.501,15.9,3.53
91,stations,40,200,-4.62,55.45,1533441600,241131,988.34,78,1015.0,1023.42,80.6,80.6,80.6,Victoria,1.375,SC,6865,0.0036,1533435983,1533478924,1,10000,scattered clouds,03d,802,Clouds,130.0,15.9,14.99
92,stations,0,200,70.62,147.9,1533444252,2126123,1026.85,76,1026.85,1028.94,49.36,49.36,49.36,Chokurdakh,1.375,RU,6865,0.0083,1533397638,1533472463,1,10000,clear sky,01d,800,Clear,37.5009,15.9,11.48
93,stations,92,200,63.05,179.32,1533443656,2126710,1006.58,100,1006.58,1014.3,48.37,48.37,48.37,Beringovskiy,0.785,RU,6865,0.0039,1533396614,1533458706,1,10000,light rain,10d,500,Rain,96.5009,15.9,8.01
94,stations,0,200,69.3,139.9,1533444252,2028164,962.32,51,962.32,1025.65,56.38,56.38,56.38,Deputatskiy,0.785,RU,6865,0.0058,1533401476,1533472600,1,10000,clear sky,01d,800,Clear,110.001,15.9,9.8
95,stations,40,200,-21.21,-159.78,1533441600,4035715,962.32,73,1004.0,1025.65,75.2,75.2,75.2,Avarua,0.785,CK,8340,0.0045,1533488893,1533529326,1,10000,scattered clouds,03n,802,Clouds,250.0,15.9,21.92
96,stations,48,200,50.24,-117.8,1533444253,6085665,865.54,74,865.54,1028.77,53.95,53.95,53.95,Nakusp,0.785,CA,8340,0.0039,1533471957,1533526042,1,10000,scattered clouds,03n,802,Clouds,30.5009,15.9,1.63
97,stations,92,200,46.77,-56.17,1533444097,3424934,1035.28,95,1035.28,1035.83,60.16,60.16,60.16,Saint-Pierre,0.125,PM,8340,0.0032,1533457795,1533510633,1,10000,light rain,10n,500,Rain,168.501,15.9,11.36
98,stations,80,200,54.63,-8.45,1533444254,2963295,1025.79,100,1025.79,1036.96,55.93,55.93,55.93,Killybegs,0.125,IE,8340,0.0042,1533444693,1533500807,1,10000,broken clouds,04n,803,Clouds,196.001,15.9,5.21
99,stations,36,200,-16.48,-151.75,1533444254,4034551,1023.61,100,1023.61,1023.79,79.33,79.33,79.33,Faanui,0.125,PF,8340,0.0034,1533486589,1533527774,1,10000,scattered clouds,03n,802,Clouds,7.00092,15.9,13.82
